File Info,,,,,,,VMAF,,,,,,,,,PSNR,,,,SSIM,,,
Index,Source,Output,Encode FPS,Bitrate,Bitrate (kbps),,Mean,1% Low,0.1% Low,Min,Harmonic Mean,Mean Diff,Bitrate/Quality,Bitrate/Quality (H),,Median,1% Low,0.1% Low,Min,Median,1% Low,0.1% Low,Min
40602,action,h264_qsv_v6_q to h265,9.15,7592995,7592.995,,98.74,91.51,87.60,83.70,98.70,0.04%,76.90,76.93,,42.45,38.84,37.98,37.13,0.967,0.930,0.920,0.916
40603,action,h264_qsv_v6_q to h264_nvenc,248.21,12298753,12298.753,,98.80,91.31,87.00,82.47,98.77,0.04%,124.48,124.53,,42.58,38.07,37.01,36.61,0.968,0.924,0.906,0.896
40604,action,h264_qsv_v6_q to h265_nvenc,175.90,9583129,9583.129,,98.42,89.73,86.19,83.46,98.36,0.06%,97.37,97.43,,42.47,37.04,35.89,35.00,0.967,0.916,0.900,0.888
40606,action,h264_qsv_v6_q to h264_qsv_v6_q,93.00,20618959,20618.959,,99.18,92.72,89.29,84.75,99.15,0.03%,207.90,207.95,,44.30,40.44,39.64,38.98,0.978,0.956,0.950,0.943
40607,action,h264_qsv_v6_q to h265_qsv_v6_q,73.33,8747380,8747.38,,97.90,88.54,85.48,83.54,97.82,0.08%,89.35,89.42,,41.57,37.67,37.00,36.56,0.964,0.918,0.901,0.893
40700,action,h265_qsv_v6_q,74.43,9969540,9969.54,,98.63,90.44,86.65,83.39,98.58,0.05%,101.08,101.13,,42.14,38.46,37.90,37.60,0.967,0.928,0.915,0.910
40701,action,h265_qsv_v6_q to h264,64.85,7612699,7612.699,,96.77,86.79,84.51,82.41,96.65,0.12%,78.67,78.77,,40.93,36.98,36.12,35.35,0.960,0.911,0.890,0.886
40702,action,h265_qsv_v6_q to h265,9.49,6891344,6891.344,,97.71,88.26,85.14,83.13,97.62,0.09%,70.53,70.59,,41.32,37.47,36.73,36.00,0.962,0.913,0.892,0.887
40703,action,h265_qsv_v6_q to h264_nvenc,210.79,11484589,11484.589,,97.78,87.92,84.20,82.21,97.69,0.09%,117.46,117.56,,41.36,37.05,36.07,35.65,0.962,0.909,0.883,0.876
40704,action,h265_qsv_v6_q to h265_nvenc,175.54,9487436,9487.436,,97.37,86.69,83.43,80.51,97.26,0.10%,97.44,97.54,,41.43,36.33,35.25,34.38,0.962,0.908,0.885,0.874
40706,action,h265_qsv_v6_q to h264_qsv_v6_q,90.19,15265452,15265.452,,97.83,88.34,85.34,83.30,97.75,0.08%,156.04,156.17,,41.62,37.86,37.21,36.83,0.965,0.920,0.903,0.898
40707,action,h265_qsv_v6_q to h265_qsv_v6_q,70.98,8555549,8555.549,,96.66,85.53,82.61,79.92,96.53,0.14%,88.51,88.64,,41.13,37.09,36.33,35.89,0.962,0.913,0.894,0.884
