File Info,,,,,,,VMAF,,,,,,,,,PSNR,,,,SSIM,,,
Index,Source,Output,Encode FPS,Bitrate,Bitrate (kbps),,Mean,1% Low,0.1% Low,Min,Harmonic Mean,Mean Diff,Bitrate/Quality,Bitrate/Quality (H),,Median,1% Low,0.1% Low,Min,Median,1% Low,0.1% Low,Min
50604,fork,h264_qsv_v6_q to h265_nvenc,45.11,19931956,19931.956,,99.35,95.57,94.63,93.90,99.34,0.01%,200.62,200.64,,45.44,41.17,40.70,40.56,0.977,0.944,0.936,0.934
50606,fork,h264_qsv_v6_q to h264_qsv_v6_q,29.70,35127144,35127.144,,99.11,95.25,94.31,92.47,99.10,0.01%,354.43,354.48,,45.83,42.67,42.32,42.17,0.979,0.962,0.958,0.956
50607,fork,h264_qsv_v6_q to h265_qsv_v6_q,22.98,15583713,15583.713,,97.99,93.00,91.81,88.86,97.96,0.03%,159.04,159.09,,44.59,41.01,40.32,40.23,0.975,0.944,0.934,0.933
50700,fork,h265_qsv_v6_q,22.96,19299384,19299.384,,98.61,94.06,92.99,91.24,98.59,0.02%,195.72,195.76,,45.45,41.67,40.90,40.76,0.978,0.951,0.941,0.940
50701,fork,h265_qsv_v6_q to h264,20.87,18143374,18143.374,,97.63,92.42,90.97,88.51,97.60,0.04%,185.83,185.90,,44.35,40.66,40.10,39.99,0.973,0.940,0.930,0.927
50702,fork,h265_qsv_v6_q to h265,3.77,9542290,9542.29,,97.66,92.36,91.09,88.33,97.62,0.04%,97.71,97.75,,44.56,40.76,40.24,40.02,0.974,0.940,0.932,0.928
50703,fork,h265_qsv_v6_q to h264_nvenc,51.93,32476201,32476.201,,98.47,93.89,92.79,89.83,98.45,0.02%,329.81,329.89,,44.79,41.06,40.48,40.29,0.975,0.943,0.934,0.931
50704,fork,h265_qsv_v6_q to h265_nvenc,45.02,19817992,19817.992,,98.50,93.87,92.79,91.06,98.47,0.02%,201.21,201.25,,44.70,40.62,40.20,40.03,0.974,0.939,0.930,0.927
50706,fork,h265_qsv_v6_q to h264_qsv_v6_q,26.59,26165842,26165.842,,98.14,93.11,91.86,88.46,98.11,0.03%,266.62,266.71,,44.65,41.01,40.34,40.25,0.975,0.943,0.933,0.932
50707,fork,h265_qsv_v6_q to h265_qsv_v6_q,22.13,16414637,16414.637,,97.43,91.83,90.34,87.15,97.39,0.04%,168.47,168.54,,44.51,40.70,40.11,39.90,0.975,0.943,0.933,0.932
