File Info,,,,,,,VMAF,,,,,,,,,PSNR,,,,SSIM,,,
Index,Source,Output,Encode FPS,Bitrate,Bitrate (kbps),,Mean,1% Low,0.1% Low,Min,Harmonic Mean,Mean Diff,Bitrate/Quality,Bitrate/Quality (H),,Median,1% Low,0.1% Low,Min,Median,1% Low,0.1% Low,Min
00602,webdl,h264_qsv_v6_q to h265,75.05,749078,749.078,,93.63,85.88,84.93,84.76,93.54,0.09%,8.00,8.01,,49.46,42.27,41.48,41.20,0.991,0.961,0.954,0.953
00603,webdl,h264_qsv_v6_q to h264_nvenc,281.86,3726926,3726.926,,95.45,89.58,88.68,88.38,95.40,0.05%,39.05,39.07,,50.42,43.35,42.37,42.26,0.993,0.970,0.966,0.966
00604,webdl,h264_qsv_v6_q to h265_nvenc,196.41,3788480,3788.48,,95.24,89.32,88.59,88.53,95.19,0.05%,39.78,39.80,,50.53,43.32,42.38,42.27,0.993,0.970,0.965,0.964
00606,webdl,h264_qsv_v6_q to h264_qsv_v6_q,100.61,3013728,3013.728,,95.25,88.27,87.31,86.96,95.19,0.06%,31.64,31.66,,50.54,43.89,42.90,42.84,0.993,0.973,0.969,0.968
00607,webdl,h264_qsv_v6_q to h265_qsv_v6_q,81.59,1599288,1599.288,,93.52,84.61,82.42,81.06,93.40,0.13%,17.10,17.12,,48.36,42.64,41.96,41.80,0.990,0.964,0.956,0.955
00700,webdl,h265_qsv_v6_q,81.90,1892739,1892.739,,94.23,86.46,84.21,82.27,94.13,0.11%,20.09,20.11,,48.69,43.27,42.68,42.59,0.990,0.966,0.958,0.957
00701,webdl,h265_qsv_v6_q to h264,128.29,1321603,1321.603,,92.76,84.27,82.18,81.70,92.63,0.14%,14.25,14.27,,48.19,41.19,40.19,39.88,0.990,0.962,0.956,0.956
00702,webdl,h265_qsv_v6_q to h265,72.12,720374,720.374,,92.70,83.74,82.32,82.14,92.56,0.15%,7.77,7.78,,48.34,41.81,41.09,40.98,0.989,0.961,0.954,0.953
00703,webdl,h265_qsv_v6_q to h264_nvenc,209.68,3061712,3061.712,,93.85,85.95,83.58,81.56,93.74,0.11%,32.62,32.66,,48.34,42.63,41.94,41.86,0.991,0.965,0.958,0.957
00704,webdl,h265_qsv_v6_q to h265_nvenc,196.89,3350468,3350.468,,93.71,85.64,83.30,81.50,93.60,0.12%,35.75,35.79,,48.54,42.49,41.86,41.68,0.990,0.966,0.958,0.957
00706,webdl,h265_qsv_v6_q to h264_qsv_v6_q,92.98,2411549,2411.549,,93.53,84.53,83.05,82.43,93.41,0.13%,25.78,25.82,,48.36,42.52,41.87,41.74,0.990,0.965,0.957,0.957
00707,webdl,h265_qsv_v6_q to h265_qsv_v6_q,78.95,1836856,1836.856,,92.66,82.21,79.28,78.29,92.49,0.18%,19.82,19.86,,48.00,42.59,41.87,41.74,0.989,0.965,0.957,0.956
