File Info,,,,,,,VMAF,,,,,,,,,PSNR,,,,SSIM,,,
Index,Source,Output,Encode FPS,Bitrate,Bitrate (kbps),,Mean,1% Low,0.1% Low,Min,Harmonic Mean,Mean Diff,Bitrate/Quality,Bitrate/Quality (H),,Median,1% Low,0.1% Low,Min,Median,1% Low,0.1% Low,Min
20602,2d,h264_qsv_v6_q to h265,26.36,1170278,1170.278,,94.97,91.31,90.62,90.35,94.93,0.03%,12.32,12.33,,46.65,43.09,42.54,42.44,0.984,0.963,0.959,0.956
20603,2d,h264_qsv_v6_q to h264_nvenc,276.76,5851698,5851.698,,95.66,92.28,91.64,91.45,95.63,0.03%,61.17,61.19,,47.20,43.61,43.22,42.99,0.985,0.967,0.963,0.962
20604,2d,h264_qsv_v6_q to h265_nvenc,198.91,6162541,6162.541,,95.41,91.89,91.18,90.84,95.38,0.03%,64.59,64.61,,47.35,43.75,43.35,42.94,0.986,0.968,0.964,0.963
20606,2d,h264_qsv_v6_q to h264_qsv_v6_q,98.68,5794365,5794.365,,95.38,91.57,90.57,90.28,95.35,0.03%,60.75,60.77,,47.33,43.45,43.03,42.69,0.986,0.967,0.963,0.962
20607,2d,h264_qsv_v6_q to h265_qsv_v6_q,81.36,1890651,1890.651,,94.37,89.56,88.31,87.89,94.32,0.05%,20.04,20.05,,45.76,42.36,41.89,41.83,0.982,0.962,0.957,0.955
20700,2d,h265_qsv_v6_q,81.83,2061170,2061.17,,94.97,90.57,89.73,89.41,94.93,0.05%,21.70,21.71,,46.13,42.64,42.17,42.14,0.983,0.962,0.958,0.956
20701,2d,h265_qsv_v6_q to h264,121.32,1503054,1503.054,,93.52,88.61,87.08,86.87,93.48,0.05%,16.07,16.08,,45.49,42.01,41.48,41.27,0.982,0.961,0.957,0.955
20702,2d,h265_qsv_v6_q to h265,26.92,1134391,1134.391,,94.30,89.66,88.51,88.03,94.26,0.05%,12.03,12.03,,45.82,42.48,42.01,41.93,0.982,0.962,0.957,0.955
20703,2d,h265_qsv_v6_q to h264_nvenc,216.99,4177094,4177.094,,94.73,90.25,89.36,89.05,94.69,0.05%,44.09,44.12,,45.91,42.57,42.14,42.09,0.983,0.963,0.958,0.957
20704,2d,h265_qsv_v6_q to h265_nvenc,204.44,4652075,4652.075,,94.53,90.05,89.12,88.81,94.49,0.05%,49.21,49.23,,46.07,42.70,42.23,42.21,0.983,0.963,0.959,0.957
20706,2d,h265_qsv_v6_q to h264_qsv_v6_q,92.61,3513783,3513.783,,94.36,89.52,88.25,87.48,94.31,0.05%,37.24,37.26,,45.84,42.38,41.90,41.81,0.982,0.962,0.957,0.955
20707,2d,h265_qsv_v6_q to h265_qsv_v6_q,80.08,1821122,1821.122,,93.56,88.05,86.92,86.01,93.50,0.06%,19.46,19.48,,45.49,42.08,41.63,41.48,0.981,0.961,0.956,0.954
,,,,,,,,,,,,,,,,,,,,,,,
30100,2dg,h264,120.02,1707269,1707.269,,94.43,90.58,89.34,88.75,94.40,0.03%,18.08,18.09,,46.22,42.68,42.18,42.09,0.983,0.962,0.958,0.957
30108,2dg,h264 to h264_tune,137.28,1219773,1219.773,,93.26,88.41,86.21,85.18,93.22,0.04%,13.08,13.08,,45.88,42.31,41.79,41.67,0.982,0.960,0.956,0.955
30109,2dg,h264 to h265_tune,28.79,819157,819.157,,93.74,89.47,87.96,87.17,93.71,0.04%,8.74,8.74,,46.04,42.54,42.01,41.93,0.983,0.962,0.958,0.956
30200,2dg,h265,25.29,1292027,1292.027,,95.49,92.07,91.59,91.42,95.46,0.03%,13.53,13.53,,46.76,43.23,42.71,42.55,0.984,0.963,0.959,0.958
