File Info,,,,,,,VMAF,,,,,,,,,PSNR,,,,SSIM,,,
Index,Source,Output,Encode FPS,Bitrate,Bitrate (kbps),,Mean,1% Low,0.1% Low,Min,Harmonic Mean,Mean Diff,Bitrate/Quality,Bitrate/Quality (H),,Median,1% Low,0.1% Low,Min,Median,1% Low,0.1% Low,Min
80603,compressed,h264_qsv_v6_q to h264_nvenc,267.01,7065305,7065.305,,82.59,0.00,0.00,0.00,22.04,115.74%,85.55,320.54,,41.08,32.24,29.58,28.08,0.965,0.876,0.855,0.843
80604,compressed,h264_qsv_v6_q to h265_nvenc,185.17,6510194,6510.194,,82.88,0.00,0.00,0.00,22.24,115.38%,78.55,292.76,,41.20,31.73,28.07,25.45,0.966,0.874,0.845,0.835
80606,compressed,h264_qsv_v6_q to h264_qsv_v6_q,98.13,7786911,7786.911,,82.55,0.00,0.00,0.00,22.15,115.38%,94.33,351.60,,41.13,32.69,29.94,28.69,0.966,0.889,0.873,0.856
80607,compressed,h264_qsv_v6_q to h265_qsv_v6_q,76.89,4600285,4600.285,,81.86,0.00,0.00,0.00,21.94,115.44%,56.20,209.63,,40.73,32.38,29.70,28.47,0.963,0.883,0.866,0.849
80700,compressed,h265_qsv_v6_q,76.61,4761184,4761.184,,81.86,0.00,0.00,0.00,22.10,114.96%,58.16,215.43,,40.86,32.46,29.74,28.50,0.964,0.887,0.870,0.854
80701,compressed,h265_qsv_v6_q to h264,97.27,3834210,3834.21,,81.68,0.00,0.00,0.00,22.14,114.71%,46.94,173.21,,40.64,32.22,29.50,28.32,0.964,0.882,0.864,0.846
80702,compressed,h265_qsv_v6_q to h265,13.58,3607275,3607.275,,81.80,0.00,0.00,0.00,22.06,115.03%,44.10,163.49,,40.85,32.33,29.62,28.36,0.964,0.884,0.867,0.850
80703,compressed,h265_qsv_v6_q to h264_nvenc,196.36,7096216,7096.216,,82.03,0.00,0.00,0.00,21.96,115.52%,86.51,323.09,,40.73,32.02,29.44,27.80,0.964,0.872,0.852,0.834
80704,compressed,h265_qsv_v6_q to h265_nvenc,185.07,6669610,6669.61,,82.22,0.00,0.00,0.00,22.11,115.23%,81.12,301.68,,40.85,31.54,28.01,25.43,0.964,0.871,0.843,0.830
80706,compressed,h265_qsv_v6_q to h264_qsv_v6_q,91.39,7474427,7474.427,,81.97,0.00,0.00,0.00,22.09,115.10%,91.19,338.43,,40.68,32.40,29.75,28.51,0.963,0.884,0.866,0.848
80707,compressed,h265_qsv_v6_q to h265_qsv_v6_q,74.40,4407701,4407.701,,81.47,0.00,0.00,0.00,21.97,115.05%,54.10,200.66,,40.59,32.13,29.48,28.19,0.962,0.881,0.864,0.840
